threat_id,src_city,dst_city,src_state,dst_state,src_country,dst_country,src_longitude,dst_longitude,src_latitude,dst_latitude,atk_time,atk_type,atk_name
1165,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1166,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1167,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1168,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1169,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1170,Singapore,Bangkok,01,10,Singapore,Thailand,103.8558,100.65,1.2931,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1171,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1172,Tokyo,Bangkok,13,10,Japan,Thailand,139.7463,100.65,35.621,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1173,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1174,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1175,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
1176,UNKNOWN,Bangkok,UNKNOWN,10,Germany,Thailand,9.491,100.65,51.2993,13.7667,1544415301,UNKNOWN,Trojan.WIN32.XMRig.A
