GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
01529,12596930,143333,4.864,0.055,42.036642,-71.578779
01531,53773239,403233,20.762,0.156,42.326183,-72.133431
01532,47840785,705398,18.471,0.272,42.323342,-71.646236
01534,22684047,325551,8.758,0.126,42.142074,-71.643348
01535,55084353,1754938,21.268,0.678,42.267564,-72.066876
01536,21589140,748438,8.336,0.289,42.231309,-71.692642
01537,18084548,295746,6.982,0.114,42.158966,-71.897051
01540,50104199,2048496,19.345,0.791,42.116263,-71.857465
01541,91769482,1032232,35.432,0.399,42.454125,-71.87754
01542,10428066,422663,4.026,0.163,42.204251,-71.908907
01543,90948956,2972529,35.116,1.148,42.388285,-71.969865
01545,53731547,2717795,20.746,1.049,42.284767,-71.714228
01550,52418640,1611501,20.239,0.622,42.059737,-72.033908
01560,9225421,270460,3.562,0.104,42.175395,-71.674223
01561,319275,0,0.123,0.,42.44397,-71.685583
01562,85045019,3044680,32.836,1.176,42.247211,-71.991867
01564,79294036,2752967,30.616,1.063,42.447924,-71.776045
01566,73421231,2569632,28.348,0.992,42.103214,-72.079545
01568,55570138,610354,21.456,0.236,42.176526,-71.603588
01569,75310394,1580615,29.078,0.61,42.055921,-71.631128
01570,32005195,5800849,12.357,2.24,42.047532,-71.846952
01571,53953610,2745001,20.832,1.06,42.053778,-71.935075
01581,53357597,2228807,20.601,0.861,42.268426,-71.613309
01583,32681395,2356134,12.618,0.91,42.369417,-71.785036
01585,66167925,1669172,25.548,0.644,42.240796,-72.162645
01588,22296233,1649001,8.609,0.637,42.1188,-71.672496
01590,82927104,4166445,32.018,1.609,42.132051,-71.750318
01602,14939143,631588,5.768,0.244,42.269189,-71.850728
01603,11686446,340396,4.512,0.131,42.243826,-71.843569
01604,16674556,476606,6.438,0.184,42.253485,-71.767932
01605,14610461,341303,5.641,0.132,42.289683,-71.787793
01606,15353870,24033,5.928,0.009,42.315249,-71.795741
01607,8191354,136953,3.163,0.053,42.225974,-71.788894
01608,1159105,0,0.448,0.,42.26198,-71.801462
01609,9896491,56961,3.821,0.022,42.285114,-71.829987
01610,5501913,9032,2.124,0.003,42.247049,-71.808366
01611,8914392,647960,3.442,0.25,42.237604,-71.875838
01612,39662272,1981211,15.314,0.765,42.296798,-71.928991
01701,43944781,1817823,16.967,0.702,42.319587,-71.4428
01702,20951471,1972409,8.089,0.762,42.282379,-71.436623
01718,120260,0,0.046,0.,42.519818,-71.429286
01719,26638827,317226,10.285,0.122,42.485985,-71.520985
01720,51059959,1114409,19.714,0.43,42.483953,-71.438495
01721,31950697,1393387,12.336,0.538,42.257755,-71.473526
01730,35485223,461054,13.701,0.178,42.499332,-71.281901
01731,2051823,0,0.792,0.,42.456754,-71.279477
01740,51653512,348726,19.944,0.135,42.439933,-71.601885
01741,39560352,643174,15.274,0.248,42.536807,-71.361324
01742,63287946,3359587,24.436,1.297,42.462911,-71.364496
01745,1033539,3023,0.399,0.001,42.292114,-71.499197
01746,48312692,1035601,18.654,0.4,42.195951,-71.45343
01747,13404308,438293,5.175,0.169,42.123007,-71.531404
01748,67922994,4220310,26.225,1.629,42.224096,-71.540489
01749,29854090,881206,11.527,0.34,42.389071,-71.545864
01752,54039295,3201505,20.865,1.236,42.349617,-71.547214
01754,13492063,402677,5.209,0.155,42.425955,-71.456256
01756,46029785,552531,17.772,0.213,42.09387,-71.544519
01757,38578112,706549,14.895,0.273,42.158692,-71.521419
01760,38376081,2588209,14.817,0.999,42.284822,-71.348811
01770,40891309,963644,15.788,0.372,42.231947,-71.372963
01772,35233800,3917459,13.604,1.513,42.302877,-71.530828
01773,35278051,2008895,13.621,0.776,42.425506,-71.310812
01775,44865750,1739913,17.323,0.672,42.429688,-71.512514
01776,62779719,1260703,24.239,0.487,42.383367,-71.42107
01778,39384513,2075865,15.206,0.801,42.356275,-71.361942
01801,32797091,771596,12.663,0.298,42.488703,-71.154383
01803,30330398,294382,11.711,0.114,42.503227,-71.201713
01810,79843650,3436398,30.828,1.327,42.648044,-71.161751
01821,42906774,1018585,16.566,0.393,42.54933,-71.251725
01824,46001869,978920,17.761,0.378,42.59079,-71.355182
01826,53530461,1712643,20.668,0.661,42.679723,-71.30068
01827,42609582,782595,16.452,0.302,42.676149,-71.499772
01830,35804405,3345586,13.824,1.292,42.796313,-71.053436
01832,29526017,1251436,11.4,0.483,42.791114,-71.132859
01833,33305084,747696,12.859,0.289,42.726226,-70.983318
01834,23003482,1334572,8.882,0.515,42.7539,-71.015935
01835,20231051,2291962,7.811,0.885,42.751327,-71.094421
01840,1290376,200629,0.498,0.077,42.706763,-71.160403
01841,7998583,453646,3.088,0.175,42.712015,-71.164873
01843,8737039,637408,3.373,0.246,42.689988,-71.16039
01844,57529352,2020651,22.212,0.78,42.742641,-71.178651
01845,68073643,3709335,26.283,1.432,42.673909,-71.091334
01850,3521443,305903,1.36,0.118,42.656045,-71.303309
01851,8662434,94451,3.345,0.036,42.627813,-71.335334
01852,12872188,596840,4.97,0.23,42.632978,-71.295616
01854,10189722,1390759,3.934,0.537,42.649481,-71.348229
01860,22002284,1031927,8.495,0.398,42.838603,-71.011997
01862,23932094,1076075,9.24,0.415,42.578543,-71.295592
01863,11966347,840165,4.62,0.324,42.63378,-71.38947
01864,34085622,875315,13.161,0.338,42.578401,-71.084448
01867,25784571,36125,9.955,0.014,42.535183,-71.105423
01876,53002803,924894,20.464,0.357,42.611801,-71.227571
01879,43514291,3649865,16.801,1.409,42.667762,-71.42882
01880,17901488,1396460,6.912,0.539,42.501524,-71.067489
01886,78331445,2900091,30.244,1.12,42.585541,-71.44025
01887,43987643,445743,16.984,0.172,42.564647,-71.164516
01890,15623914,817439,6.032,0.316,42.452752,-71.144319
01901,641318,68752,0.248,0.027,42.460419,-70.946379
01902,6223958,235927,2.403,0.091,42.471039,-70.941535
01904,11714786,1301717,4.523,0.503,42.492456,-70.97393
01905,9215126,1194007,3.558,0.461,42.465998,-70.975792
01906,27966371,2599526,10.798,1.004,42.468432,-71.013946
01907,7860396,1107035,3.035,0.427,42.474145,-70.906597
01908,2708893,3558671,1.046,1.374,42.428256,-70.926041
01913,31836417,3729019,12.292,1.44,42.851293,-70.95581
01915,39082047,3958337,15.09,1.528,42.570665,-70.867583
01921,60992697,2201248,23.549,0.85,42.683108,-71.027188
01922,24845077,774070,9.593,0.299,42.757313,-70.914241
01923,34201832,2346800,13.205,0.906,42.574174,-70.950516
01929,36163083,5382277,13.963,2.078,42.64042,-70.771172
01930,67854354,13989808,26.199,5.401,42.61991,-70.681824
01937,189212,0,0.073,0.,42.585723,-70.984051
01938,78802958,13687780,30.426,5.285,42.68386,-70.842666
01940,27304673,1712607,10.542,0.661,42.534146,-71.038333
01944,23904156,3206996,9.229,1.238,42.576636,-70.767154
01945,11360783,8799296,4.386,3.397,42.501565,-70.858834
01949,34824877,2699237,13.446,1.042,42.606666,-71.010316
01950,21626520,5971679,8.35,2.306,42.812358,-70.891095
01951,35688526,6807643,13.779,2.628,42.773351,-70.850211
01952,39818507,6263854,15.374,2.418,42.844794,-70.841499
01960,41467179,1461554,16.011,0.564,42.534279,-70.969782
01966,18098023,4176220,6.988,1.612,42.640699,-70.62025
01969,45292656,4373280,17.488,1.689,42.720873,-70.89122
01970,21010684,14198353,8.112,5.482,42.524435,-70.870859
01982,36720134,1913529,14.178,0.739,42.626223,-70.85723
01983,30841513,2337872,11.908,0.903,42.641387,-70.943383
01984,19835915,1249329,7.659,0.482,42.600668,-70.88326
01985,34828194,3308938,13.447,1.278,42.799565,-70.964428
02019,47510480,1428201,18.344,0.551,42.076682,-71.47449
02021,48657834,2116782,18.787,0.817,42.175737,-71.125385
02025,25346277,2758665,9.786,1.065,42.236444,-70.814309
02026,26537537,1044815,10.246,0.403,42.246872,-71.179462
02030,39100737,878543,15.097,0.339,42.23416,-71.291167
02032,6057759,155223,2.339,0.06,42.156882,-71.216187
02035,51426039,2574077,19.856,0.994,42.061338,-71.245802
02038,68996347,1008371,26.64,0.389,42.084858,-71.410571
02043,57445942,2268110,22.18,0.876,42.216098,-70.88127
02045,6894574,14225282,2.662,5.492,42.292253,-70.923919
02047,619345,21837,0.239,0.008,42.133914,-70.686037
02048,52069121,822341,20.104,0.318,42.017302,-71.21642
02050,75366933,10900301,29.099,4.209,42.115139,-70.710331
02052,37305973,610592,14.404,0.236,42.184599,-71.305307
02053,29900124,343651,11.545,0.133,42.156203,-71.430345
02054,31141658,629026,12.024,0.243,42.173103,-71.363756
