USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
CA	0699003	Riverdale Joint Unified School District (9-12)	09	12	556399163	695948	214.827	0.269	36.407663	-120.15255                                                                                     
CA	0699004	Sierra Unified School District (9-12)	09	12	2981490880	63873877	1151.16	24.662	37.223609	-119.000936                                                                                         
CA	0699005	Orland Joint Unified School District (9-12)	09	12	92859908	242372	35.853	0.094	39.718119	-122.119627                                                                                         
CA	0699006	Eureka City Unified School District (7-12)	07	12	323834837	15284936	125.033	5.902	40.714403	-124.098541                                                                                      
CA	0699007	Eureka City Unified School District (9-12)	09	12	312380570	411149	120.611	0.159	40.687248	-123.924133                                                                                        
CA	0699008	Upper Lake Unified School District (9-12)	09	12	78086395	36746376	30.149	14.188	39.090779	-122.785045                                                                                        
CA	0699009	Coast Unified School District (9-12)	09	12	126992458	73156957	49.032	28.246	35.478585	-120.894745                                                                                            
CA	0699010	Paso Robles Joint Unified School District (9-12)	09	12	768696306	19053208	296.795	7.356	35.787422	-120.73116                                                                                 
CA	0699011	Santa Cruz City High School District (6-12)	06	12	99094925	152256243	38.261	58.786	36.953717	-122.0706                                                                                       
CA	0699012	Hughson Unified School District (9-12)	09	12	298439433	17844104	115.228	6.89	37.627044	-120.572309                                                                                           
CA	0699013	Oakdale Joint Unified School District (9-12)	09	12	495653735	8043872	191.373	3.106	37.859857	-120.764978                                                                                     
CA	0699014	Nevada Joint Union High School District (9-12)	09	12	135672004	10983925	52.383	4.241	39.430875	-121.100589                                                                                   
CT	0900005	Regional High School District 19	09	12	302228829	5055984	116.691	1.952	41.861632	-72.223969                                                                                                  
CT	0903570	Regional High School District 11	07	12	163465415	1536941	63.114	0.593	41.752806	-72.077164                                                                                                   
CT	0903600	Regional High School District 01	09	12	680970605	13837681	262.924	5.343	41.883719	-73.378386                                                                                                 
CT	0903630	Regional High School District 04	07	12	103517056	7459342	39.968	2.88	41.37638	-72.460836                                                                                                     
CT	0903660	Regional High School District 05	07	12	147890093	2584499	57.101	0.998	41.363538	-73.003892                                                                                                   
CT	0903720	Regional High School District 07	07	12	388983305	16024635	150.187	6.187	41.969922	-73.178483                                                                                                 
CT	0903750	Regional High School District 08	07	12	196049301	1985327	75.695	0.767	41.664495	-72.411382                                                                                                   
CT	0903780	Regional High School District 09	09	12	152761747	4653127	58.982	1.797	41.288141	-73.355331                                                                                                   
GA	1313053	Chattahoochee County for Fort Benning	09	12	489952780	4272428	189.172	1.65	32.371753	-84.797416                                                                                              
GA	1313215	Muscogee County for Fort Benning	09	12	191845678	549905	74.072	0.212	32.469857	-84.813099                                                                                                    
IL	1701384	Illini West High School District 307	09	12	947181977	16395757	365.709	6.33	40.49975	-91.065487                                                                                               
IL	1703780	Anna Jonesboro Community High School District 81	09	12	405630380	2799748	156.615	1.081	37.471235	-89.191398                                                                                  
IL	1703870	Antioch Community High School District 117	09	12	129836668	22813818	50.13	8.808	42.451901	-88.089844                                                                                         
IL	1704020	Argo Community High School District 217	09	12	30609945	1034903	11.819	0.4	41.7598	-87.828978                                                                                                 
IL	1704170	Township High School District 214	09	12	168940033	1396131	65.228	0.539	42.076248	-87.961754                                                                                                  
IL	1704230	Armstrong Township High School District 225	09	12	347210969	418896	134.059	0.162	40.282372	-87.902028                                                                                        
IL	1704770	Central Community High School District 71	09	12	528100482	1762621	203.901	0.681	38.605958	-89.526938                                                                                         
IL	1705640	Belleville Township High School District 201	09	12	302625614	4949524	116.844	1.911	38.507841	-90.039462                                                                                      
IL	1705970	Benton Consolidated High School District 103	09	12	440905758	46815739	170.235	18.076	38.043103	-88.845905                                                                                    
IL	1706420	Bloom Township High School District 206	09	12	103268808	414395	39.872	0.16	41.503125	-87.605681                                                                                              
IL	1706540	Community High School District 218	09	12	77967772	1149652	30.104	0.444	41.670289	-87.735893                                                                                                  
