USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
NH	3303840	Hollis School District	KG	06	82178021	1468342	31.729	0.567	42.749624	-71.585402                                                                                                              
NH	3303870	Hooksett School District	PK	12	93385739	2769063	36.056	1.069	43.082194	-71.446738                                                                                                            
NH	3303990	Jackson School District	KG	12	172933615	101974	66.77	0.039	44.18762	-71.155763                                                                                                               
NH	3304080	Kensington School District	KG	05	30993370	36676	11.967	0.014	42.93287	-70.964273                                                                                                             
NH	3304150	Lafayette Regional School District	KG	06	294474778	1315081	113.697	0.508	44.173842	-71.729391                                                                                                
NH	3304170	Landaff School District	KG	12	73400469	354107	28.34	0.137	44.160094	-71.885201                                                                                                               
NH	3304500	Lyme School District	KG	12	139393296	3120735	53.82	1.205	43.816634	-72.094295                                                                                                                
NH	3304560	Madison School District	KG	12	99682741	6179063	38.488	2.386	43.908458	-71.15382                                                                                                              
NH	3304620	Marlborough School District	KG	12	52865390	605073	20.411	0.234	42.886226	-72.177684                                                                                                          
NH	3304650	Marlow School District	KG	12	67265123	1218420	25.971	0.47	43.138544	-72.208769                                                                                                               
NH	3304800	Milan School District	PK	12	164952133	1965468	63.688	0.759	44.553867	-71.218255                                                                                                              
NH	3304920	Monroe School District	KG	12	57848058	3863557	22.335	1.492	44.296605	-71.980684                                                                                                              
NH	3304950	Mont Vernon School District	KG	08	43573629	212964	16.824	0.082	42.908885	-71.694199                                                                                                          
NH	3305010	Nelson School District	KG	12	56749716	3546900	21.911	1.369	42.999482	-72.121703                                                                                                              
NH	3305040	New Boston School District	PK	12	110889233	1027646	42.815	0.397	42.981209	-71.67752                                                                                                          
NH	3305070	New Castle School District	KG	12	2094144	3785820	0.809	1.462	43.062147	-70.717071                                                                                                            
NH	3305190	Newfields School District	KG	05	18365898	434251	7.091	0.168	43.038509	-70.967954                                                                                                             
NH	3305250	Newington School District	KG	12	21002944	11045450	8.109	4.265	43.085924	-70.827443                                                                                                           
NH	3305370	North Hampton School District	PK	08	35967119	1288672	13.887	0.498	42.979934	-70.829441                                                                                                       
