USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
VA	51105	01496538	Lee County	1127622401	4896868	435.377	1.891	36.701721	-83.130112                                                                                                                      
VA	51107	01480141	Loudoun County	1335828238	14421373	515.766	5.568	39.0812	-77.638898                                                                                                                   
VA	51109	01494707	Louisa County	1284976753	37794134	496.132	14.592	37.972704	-77.959795                                                                                                                 
VA	51111	01492239	Lunenburg County	1118097710	1743628	431.7	0.673	36.945555	-78.240528                                                                                                                  
VA	51113	01494590	Madison County	830447699	3207612	320.638	1.238	38.412059	-78.276961                                                                                                                   
VA	51115	01480145	Mathews County	222498971	430080748	85.907	166.055	37.425348	-76.268808                                                                                                                
VA	51117	01500747	Mecklenburg County	1619502374	139697793	625.293	53.938	36.687256	-78.368959                                                                                                           
VA	51119	01480147	Middlesex County	337554148	208310589	130.33	80.429	37.606975	-76.528082                                                                                                               
VA	51121	01674630	Montgomery County	1001920426	6290938	386.844	2.429	37.175534	-80.387791                                                                                                               
VA	51125	01500936	Nelson County	1219224471	8984036	470.745	3.469	37.789079	-78.88344                                                                                                                    
VA	51127	01480150	New Kent County	543990078	35597680	210.036	13.744	37.510158	-76.999326                                                                                                                
VA	51131	01480151	Northampton County	548282865	1511417325	211.693	583.562	37.302775	-75.924018                                                                                                          
VA	51133	01480152	Northumberland County	495768323	243946540	191.417	94.188	37.856974	-76.379687                                                                                                         
VA	51135	01493928	Nottoway County	814265583	4297830	314.39	1.659	37.141167	-78.053866                                                                                                                   
VA	51137	01494761	Orange County	883475384	6501371	341.112	2.51	38.250193	-78.009622                                                                                                                     
VA	51139	01500440	Page County	802949708	8369901	310.021	3.232	38.623201	-78.49188                                                                                                                       
VA	51141	01497999	Patrick County	1250846143	7141128	482.954	2.757	36.667138	-80.286413                                                                                                                  
VA	51143	01480157	Pittsylvania County	2509705660	23903852	969.003	9.229	36.821721	-79.398502                                                                                                            
VA	51145	01674225	Powhatan County	673916979	5448475	260.201	2.104	37.549404	-77.912855                                                                                                                  
VA	51147	01492359	Prince Edward County	906395970	10040115	349.961	3.877	37.224881	-78.432957                                                                                                            
VA	51149	01480160	Prince George County	687240723	42735664	265.345	16.5	37.187325	-77.220993                                                                                                             
VA	51153	01480161	Prince William County	869562682	30888500	335.74	11.926	38.701119	-77.479579                                                                                                           
VA	51155	01501465	Pulaski County	828377036	24877884	319.838	9.605	37.063385	-80.713444                                                                                                                  
VA	51157	01673976	Rappahannock County	689900924	2142396	266.372	0.827	38.684522	-78.168824                                                                                                              
VA	51159	01480164	Richmond County	495925426	64458631	191.478	24.888	37.942894	-76.730561                                                                                                                
VA	51161	01480165	Roanoke County	648905646	1762430	250.544	0.68	37.343588	-79.943996                                                                                                                    
VA	51163	01480166	Rockbridge County	1545038082	8836969	596.543	3.412	37.814517	-79.447754                                                                                                               
VA	51165	01488970	Rockingham County	2200943714	10647621	849.789	4.111	38.507585	-78.885321                                                                                                              
VA	51167	01497573	Russell County	1226419638	7550972	473.523	2.915	36.93342	-82.095934                                                                                                                   
VA	51169	01498172	Scott County	1387786298	8105325	535.827	3.129	36.712776	-82.613624                                                                                                                    
VA	51171	01673918	Shenandoah County	1315897688	9738609	508.071	3.76	38.856204	-78.573987                                                                                                                
VA	51173	01500545	Smyth County	1168992135	3519016	451.35	1.359	36.842318	-81.539786                                                                                                                     
VA	51175	01480171	Southampton County	1551866777	8133232	599.179	3.14	36.720173	-77.103856                                                                                                               
VA	51177	01480172	Spotsylvania County	1039887175	33117022	401.503	12.787	38.182431	-77.657226                                                                                                           
VA	51179	01480173	Stafford County	697237202	28088012	269.205	10.845	38.413261	-77.451334                                                                                                                
VA	51181	01480174	Surry County	722475750	81216905	278.949	31.358	37.119761	-76.880172                                                                                                                   
VA	51183	01690257	Sussex County	1269679004	6740704	490.226	2.603	36.926645	-77.259732                                                                                                                   
VA	51185	01497748	Tazewell County	1343661893	2921374	518.791	1.128	37.125395	-81.562924                                                                                                                 
VA	51187	01674058	Warren County	555641045	8578481	214.534	3.312	38.908221	-78.207594                                                                                                                    
VA	51191	01498359	Washington County	1453385755	12998219	561.155	5.019	36.747831	-81.950316                                                                                                              
VA	51193	01480179	Westmoreland County	593950813	61109991	229.326	23.595	38.109311	-76.803933                                                                                                            
VA	51195	01496656	Wise County	1044903123	5257730	403.439	2.03	36.974561	-82.62156                                                                                                                       
VA	51197	01501379	Wythe County	1196372570	7310342	461.922	2.823	36.899867	-81.083001                                                                                                                    
VA	51199	01480182	York County	270917800	285551180	104.602	110.252	37.219081	-76.561648                                                                                                                  
VA	51510	01498415	Alexandria city	38676699	1072887	14.933	0.414	38.820071	-77.084063                                                                                                                    
VA	51520	01498416	Bristol city	33420176	322409	12.904	0.124	36.616954	-82.157564                                                                                                                        
VA	51530	01498417	Buena Vista city	16674747	219580	6.438	0.085	37.729345	-79.358134                                                                                                                     
VA	51540	01789068	Charlottesville city	26533569	47161	10.245	0.018	38.037658	-78.485381                                                                                                                 
VA	51550	01498558	Chesapeake city	876737869	32209980	338.51	12.436	36.679376	-76.301788                                                                                                                 
VA	51570	01498420	Colonial Heights city	19475232	766910	7.519	0.296	37.261685	-77.396804                                                                                                                
VA	51580	01789069	Covington city	14163842	521492	5.469	0.201	37.78106	-79.985434                                                                                                                        
VA	51590	01498421	Danville city	110844524	2341364	42.797	0.904	36.583334	-79.408071                                                                                                                     
VA	51595	01498422	Emporia city	17881071	165621	6.904	0.064	36.696182	-77.535975                                                                                                                         
VA	51600	01789070	Fairfax city	16162729	84155	6.24	0.032	38.853183	-77.299025                                                                                                                           
VA	51610	01498423	Falls Church city	5300265	32	2.046	0.	38.884722	-77.175603                                                                                                                            
VA	51620	01498424	Franklin city	21563597	102065	8.326	0.039	36.684014	-76.941396                                                                                                                        
VA	51630	01498425	Fredericksburg city	27067169	177679	10.451	0.069	38.299272	-77.486658                                                                                                                 
VA	51640	01498426	Galax city	21332076	105290	8.236	0.041	36.66564	-80.914308                                                                                                                            
VA	51650	01498554	Hampton city	133141155	219759022	51.406	84.849	37.047961	-76.297293                                                                                                                   
VA	51660	01498563	Harrisonburg city	44908390	131080	17.339	0.051	38.436255	-78.873303                                                                                                                   
VA	51670	01498428	Hopewell city	26818721	1228128	10.355	0.474	37.29101	-77.298944                                                                                                                       
VA	51678	01789071	Lexington city	6473002	67783	2.499	0.026	37.782332	-79.44432                                                                                                                          
VA	51680	01498429	Lynchburg city	126842533	1428787	48.974	0.552	37.399016	-79.195458                                                                                                                    
VA	51683	01498430	Manassas city	25510900	144861	9.85	0.056	38.746808	-77.482633                                                                                                                         
VA	51685	01498431	Manassas Park city	6538719	616	2.525	0.	38.768945	-77.448767                                                                                                                          
VA	51690	01789072	Martinsville city	28376608	133615	10.956	0.052	36.683527	-79.863647                                                                                                                   
VA	51700	01498555	Newport News city	179016537	130929668	69.119	50.552	37.076136	-76.52198                                                                                                               
VA	51710	01498557	Norfolk city	137985832	111697124	53.277	43.127	36.923015	-76.244641                                                                                                                   
VA	51720	01498434	Norton city	19366113	89335	7.477	0.034	36.931549	-82.625996                                                                                                                           
VA	51730	01498435	Petersburg city	58845017	578133	22.72	0.223	37.20473	-77.392368                                                                                                                       
VA	51735	01498436	Poquoson city	39837347	163456081	15.381	63.111	37.12836	-76.303534                                                                                                                    
VA	51740	01498556	Portsmouth city	86248207	34658279	33.301	13.382	36.859339	-76.356973                                                                                                                  
VA	51750	01498438	Radford city	25061755	858259	9.676	0.331	37.120119	-80.559147                                                                                                                         
VA	51760	01789073	Richmond city	155176309	6878617	59.914	2.656	37.531399	-77.476009                                                                                                                     
VA	51770	01498439	Roanoke city	110121235	861515	42.518	0.333	37.278458	-79.958174                                                                                                                       
VA	51775	01789074	Salem city	37600652	277514	14.518	0.107	37.285333	-80.055241                                                                                                                          
